addr_full,brand,brand_wikidata,city,country,email,extras,housenumber,lat,lon,name,opening_hours,phone,postcode,ref,state,store_url,street,website
"Краснодар, Суворова, 2/1",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,45.014, 38.9775,,,,,52,,,,https://www.gpnbonus.ru/
"Кенти, а/д М6 (159 км, справа)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,53.8284, 25.3761,,,,,53,,,,https://www.gpnbonus.ru/
"Красково, Егорьевское, 3",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.6637, 38.0047,,,,,54,,,,https://www.gpnbonus.ru/
"Новосибирск, Толмачевское, 1",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.9666, 82.8126,,,,,55,,,,https://www.gpnbonus.ru/
"Ярославль, Мышкинский (пересечение Магистральной)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,57.6150, 39.8415,,,,,56,,,,https://www.gpnbonus.ru/
"Санкт-Петербург, Лахтинский, 149А",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,59.9953, 30.1235,,,,,57,,,,https://www.gpnbonus.ru/
"Цивильск, М7, (справа, 675-й км + 300 м)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.8868, 47.4441,,,,,58,,,,https://www.gpnbonus.ru/
"Москва, Б.Юшуньская, 7Б",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.6471, 37.5909,,,,,59,,,,https://www.gpnbonus.ru/
"Душанбе, Шестопалова, 28А (33 мкр.)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,38.5459, 68.7479,,,,,60,,,,https://www.gpnbonus.ru/
"Екатеринбург, Гурзуфская, 61",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,56.8247, 60.5602,,,,,61,,,,https://www.gpnbonus.ru/
"Смолевичи, М1 (403 км, слева)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.0124, 28.1838,,,,,62,,,,https://www.gpnbonus.ru/
"Новосибирск, Троллейная, 83/1",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.9645, 82.8544,,,,,63,,,,https://www.gpnbonus.ru/
"Кемерово, Тухачевского, 42, 1",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.3215, 86.130,,,,,64,,,,https://www.gpnbonus.ru/
"Омск, Суворова, 109",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.9645, 73.3467,,,,,65,,,,https://www.gpnbonus.ru/
"Бишкек, Кулатова, 9Б",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,42.8597, 74.6158,,,,,66,,,,https://www.gpnbonus.ru/
"Новотитаровская, Краснодар-Ейск (15 км, справа)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,45.2549, 38.9971,,,,,67,,,,https://www.gpnbonus.ru/
"Красково, Карла Маркса, 2В",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.6597, 37.9728,,,,,68,,,,https://www.gpnbonus.ru/
"Санкт-Петербург, Пулковское, 42А",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,59.8165, 30.3251,,,,,69,,,,https://www.gpnbonus.ru/
"Саранск, Победы, 1Б",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.2056, 45.1365,,,,,70,,,,https://www.gpnbonus.ru/
